evaluation_id,overall_score,dimension_id,dimension_label,dimension_score,issue_id,severity,shot_id,correction_type,description,suspected_cause
eval_268370472733,0.849,action_clarity,Action Clarity,0.73,issue_d61ec40df4de,medium,shot_02,action,The main action target in shot_02 is not explicit enough.,"Action verbs, target objects, or reaction outcomes are not concrete enough."
eval_268370472733,0.849,pacing_progression,Pacing Progression,0.713,issue_2529989c170c,medium,shot_02,action,Pacing progression in shot_02 is not clear enough.,"Beat markers, transition triggers, or action progression are missing."
eval_268370472733,0.849,color_alignment,Color Alignment,0.875,issue_580572024f83,low,shot_01,scene,shot_01 underperforms on Color Alignment.,"Color, material, or glow attributes are not written as hard constraints."
eval_268370472733,0.849,color_alignment,Color Alignment,0.875,issue_16b0f1093856,low,shot_02,scene,shot_02 underperforms on Color Alignment.,"Color, material, or glow attributes are not written as hard constraints."
eval_268370472733,0.849,camera_expression,Camera Expression,0.748,issue_740ecbdbead3,medium,shot_04,camera,Camera language in shot_04 does not support the narrative beat strongly enough.,"Shot type, camera motion, or subject relationship is under-specified."
eval_268370472733,0.849,emotional_intensity,Emotional Intensity,0.708,issue_5b9a49fdc0c3,medium,shot_03,emotion,The emotional expression in shot_03 is not strong enough.,"Emotional action, facial detail, or audio turn design is insufficient."
eval_268370472733,0.849,reversal_expression,Reversal Expression,0.615,issue_7a00d1f226e9,high,shot_03,scene,The reversal or key information anchor in shot_03 is not explicit enough.,"Visual anchors, before/after contrast, or reveal actions are missing."
eval_268370472733,0.849,audio_timing,Audio Timing,0.713,issue_707efbcf52c5,medium,shot_04,audio,Audio timing in shot_04 is not aligned with the visual beat.,"Sound trigger, BGM transition, or ambience layering is under-specified."
eval_2fddd6503aa5,0.852,action_clarity,Action Clarity,0.77,issue_a6398c7c90a0,low,shot_02,action,The main action target in shot_02 is not explicit enough.,"Action verbs, target objects, or reaction outcomes are not concrete enough."
eval_2fddd6503aa5,0.852,color_alignment,Color Alignment,0.875,issue_9c9319912388,low,shot_01,scene,shot_01 underperforms on Color Alignment.,"Color, material, or glow attributes are not written as hard constraints."
eval_2fddd6503aa5,0.852,color_alignment,Color Alignment,0.875,issue_0d1de907db2c,low,shot_02,scene,shot_02 underperforms on Color Alignment.,"Color, material, or glow attributes are not written as hard constraints."
eval_2fddd6503aa5,0.852,camera_expression,Camera Expression,0.748,issue_e9ef8b5d70aa,medium,shot_04,camera,Camera language in shot_04 does not support the narrative beat strongly enough.,"Shot type, camera motion, or subject relationship is under-specified."
eval_2fddd6503aa5,0.852,emotional_intensity,Emotional Intensity,0.708,issue_576513bec657,medium,shot_03,emotion,The emotional expression in shot_03 is not strong enough.,"Emotional action, facial detail, or audio turn design is insufficient."
eval_2fddd6503aa5,0.852,reversal_expression,Reversal Expression,0.615,issue_592057d17620,high,shot_03,scene,The reversal or key information anchor in shot_03 is not explicit enough.,"Visual anchors, before/after contrast, or reveal actions are missing."
eval_2fddd6503aa5,0.852,audio_timing,Audio Timing,0.713,issue_c60b35fd060a,medium,shot_04,audio,Audio timing in shot_04 is not aligned with the visual beat.,"Sound trigger, BGM transition, or ambience layering is under-specified."
eval_3ae2c3527055,0.852,action_clarity,Action Clarity,0.77,issue_fbfd40f3d22c,low,shot_02,action,The main action target in shot_02 is not explicit enough.,"Action verbs, target objects, or reaction outcomes are not concrete enough."
eval_3ae2c3527055,0.852,color_alignment,Color Alignment,0.875,issue_0308973373c1,low,shot_01,scene,shot_01 underperforms on Color Alignment.,"Color, material, or glow attributes are not written as hard constraints."
eval_3ae2c3527055,0.852,color_alignment,Color Alignment,0.875,issue_5ed65953695f,low,shot_02,scene,shot_02 underperforms on Color Alignment.,"Color, material, or glow attributes are not written as hard constraints."
eval_3ae2c3527055,0.852,camera_expression,Camera Expression,0.748,issue_c3d5149caa76,medium,shot_04,camera,Camera language in shot_04 does not support the narrative beat strongly enough.,"Shot type, camera motion, or subject relationship is under-specified."
eval_3ae2c3527055,0.852,emotional_intensity,Emotional Intensity,0.708,issue_6cb561d1ab70,medium,shot_03,emotion,The emotional expression in shot_03 is not strong enough.,"Emotional action, facial detail, or audio turn design is insufficient."
eval_3ae2c3527055,0.852,reversal_expression,Reversal Expression,0.615,issue_0969b0f70720,high,shot_03,scene,The reversal or key information anchor in shot_03 is not explicit enough.,"Visual anchors, before/after contrast, or reveal actions are missing."
eval_3ae2c3527055,0.852,audio_timing,Audio Timing,0.713,issue_5ea9a9d96d47,medium,shot_04,audio,Audio timing in shot_04 is not aligned with the visual beat.,"Sound trigger, BGM transition, or ambience layering is under-specified."
